source_text	translation_ko	notes
"As you make  your way through the last of the golemn debris, a group of halflings runs towards you carrying fruit and flowers. ""Thank you so much!"" Their leader exclaims, ""We've been trapped in here for ever! Come by our homes, we'll pack up and go with you!"""	"마지막 골렘 잔해를 헤치고 나아가자 하플링 무리가 과일과 꽃을 들고 달려온다. ""정말 감사합니다!"" 우두머리가 외친다. ""우린 여기 영원히 갇혀 있었어요! 우리 집에 들러 주세요. 짐을 싸서 함께 가겠습니다!"""	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
"As you make your way to the shrine, some very thin and hollow-eyed men come out of the flower patch and stare at you.  Seeing that you want the gold, one of them says to you ""Hey, man, if you're, like, so lusty for earthly wealth, then, like, have this too."" You graciously take what they have offered and back out of the clearing."	"성소로 향하자 몹시 야위고 눈이 퀭한 남자들이 꽃밭에서 나와 당신을 바라본다. 당신이 골드를 원한다는 걸 본 한 명이 말한다. ""이봐요, 세속의 부에 그렇게 욕심이 난다면, 뭐, 이것도 가지세요."" 당신은 호의를 베풀듯 그들이 내민 물건을 받고 공터에서 천천히 뒷걸음질쳐 나온다."	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Barbarian's castle lies to the south.	야만인의 성은 남쪽에 있다.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Before questing for the orb of negation, you must first crush the local opposition. After the Sorceresses are removed from the earth, go east where legend says the orb lies.  You may expect a convoy of supplies in a week or so to aid your conquest. 	무효화의 구슬을 찾으러 떠나기 전에 먼저 지역의 반대 세력을 짓밟아야 한다. 소서리스들을 제거한 뒤 동쪽으로 가라. 전설에 따르면 그곳에 구슬이 있다. 정복을 돕기 위한 보급품 수송대도 일주일쯤 뒤에 도착할 것이다.	fheroes2 ko.po 참고 번역; trailing_space_normalized; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Before you may pass, the spirit guardian of this valley demands tribute.	이곳을 지나가려면 먼저 계곡의 영혼 수호자가 공물을 요구한다.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Beware of Pirates!	해적을 조심하라!	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Beware the deadly swamps!	치명적인 늪을 조심하라!	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Beware the sirens!	사이렌을 조심하라!	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Beware the whiporwill...	휩푸어윌을 조심하라...	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Capture the town on the island off the southeast shore in order to construct a boat and travel back towards the mainland.	남동쪽 해안의 섬에 있는 마을을 점령해 배를 만들고 본토 쪽으로 돌아가라.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Come and....	와서...	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Compared to the rest of the villages in this land, this village seems grand, but in any other land it would seem poor. From here you can see the tall spires of the Warlock's tower of Dragons.	이 땅의 다른 마을들과 비교하면 이곳은 웅장해 보이지만, 다른 나라에 있었다면 가난한 마을에 불과했을 것이다. 여기서도 흑마법사의 드래곤 탑에 솟은 높은 첨탑들이 보인다.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Conquer and unite all the enemy tribes. Don't lose the hero Jarkonas, the forefather of all descendants.	모든 적대 부족을 정복하고 통합하세요. 모든 후손의 시조인 영웅 자르코나스를 잃지 마세요.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Dark clouds loom overhead as you enter this valley.	계곡에 들어서자 머리 위로 먹구름이 드리운다.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Destroy the Barbarians who are attacking the southern border of your kingdom! Recover your towns and then invade the jungle kingdom.	왕국 남쪽 국경을 공격하는 바바리안들을 파괴하라! 마을을 되찾은 뒤 정글 왕국을 침공하라.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Do Not Enter!	출입 금지!	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Dragon City lies beyond the Scorpion Hills.	드래곤 시티는 스콜피온 힐스 너머에 있다.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Dwarf Hall, domain of the dwarf King.	드워프 홀, 드워프 왕의 영지.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Evil 10	악 10	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Evil 11	악 11	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Evil 2	악 2	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Evil 3	악 3	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Evil 4	악 4	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Evil 5	악 5	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Evil 5b	악 5b	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Evil 6	악 6	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Evil 7	악 7	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Evil 8	악 8	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Evil 9	악 9	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Fantasy Island.	환상의 섬	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Find Your Wayward Son who is rumored to be living in the desolate lands. Do it within 8 weeks or it will be of no help to your family.	황량한 땅에 산다고 전해지는 가출한 아들을 찾아라. 8주 안에 찾아야 가족에게 도움이 된다.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Find and defeat the Pirate Leader!	해적 우두머리를 찾아 쓰러뜨려라!	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
For sale.	판매 중.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
For the good of the Empire, eliminate Kraeger.	제국을 위해 크레이거를 제거하세요.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Gain the aid of the elves. They will not allow trees to be chopped down, so we will send you wood every 2 weeks. You have 7 months!	엘프들의 도움을 얻어라. 나무를 베는 것을 허용하지 않으므로 2주마다 목재를 보내 줄 것이다. 제한 시간은 7개월!	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Good 10	굿 10	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Good 4	굿 4	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Good 5	굿 5	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Good 5b	굿 5b	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Good 6	굿 6	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Good 7	굿 7	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Good 8	굿 8	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Good 9	굿 9	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Green bonus stuff	초록 보너스 물자	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Green gets stuff	초록에게 물자	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Green stuff	초록 물자	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Green's Allowance	초록의 수당	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Green's Groceries	초록의 식료품	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
High in the snowy crags, you meet an old witch who, in return for a trinket of yours, gives you a powerful magical object she used to use as a footstool before she was exiled into the mountains by her own townspeople.	눈 덮인 높은 바위산에서 늙은 마녀를 만난다. 당신의 장신구 하나를 받는 대가로 그녀는 강력한 마법 물건을 건네준다. 마을 사람들에게 산으로 추방되기 전에는 발판으로 쓰던 물건이라고 한다.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
I am one of the few remaining survivors of the wrecked pleasure ship, Exhorbitance. I think we'll all be dead of hunger soon, for we are out of caviar. We ate the chef yesterday.	나는 난파된 유람선 엑소비턴스의 몇 안 되는 생존자 중 하나다. 캐비아가 다 떨어졌으니 곧 모두 굶어 죽을 것 같다. 어제는 요리사를 먹었다.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
If you value your lives, for God's sake, Don't go through this whirlpool!	목숨이 소중하다면, 제발 이 소용돌이로 들어가지 마라!	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
In this glen live some very naughty halflings. Stay Away!	이 작은 숲에는 아주 말썽꾸러기인 하플링들이 산다. 가까이 오지 마시오!	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
In two more weeks, if you have not located Joseph, your kingdom will surely lose its current battle with Harondale.	앞으로 2주 안에 조셉을 찾아내지 못한다면, 당신의 왕국은 현재 하론데일과 벌이는 전투에서 틀림없이 패배할 것이다.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Income for Yellow. 	노란색 진영의 수입.	fheroes2 ko.po 참고 번역; trailing_space_normalized; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Is it something I said? Go back and I will forget the whole thing.	내가 무슨 말이라도 잘못했나? 돌아가. 이번 일은 없던 걸로 해주지.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Island of Wolcott	월콧의 섬	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Island of the Elves	엘프의 섬	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Island of the meek	온순한 자들의 섬	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Ivan lives in the desert.	이반은 사막에 산다.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Just 30 days left!	이제 30일밖에 남지 않았다!	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Just ONE week left!	이제 딱 일주일밖에 남지 않았다!	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Keep Out!	출입 금지!	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Knight stuff	기사 물자	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Long live Roland the true King!	진정한 왕 롤랜드 만세!	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Long live Roland the true King.	진정한 왕 롤랜드 만세.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
"Lord Alberon calls you into his war room. He says, ""I am glad you have chosen to remain loyal to me, but this war is a terrible one for my kingdom. Already, the sorceress' towns to the Northeast have become unsure about their loyalties, and will not pledge allegiance to either side. This is hard on our cities as most of the wood in the land comes from these towns. We will need to recover their sawmills and take their towns by force."""	"알베론 경이 당신을 작전실로 부른다. 그가 말한다. ""내게 계속 충성을 바치기로 한 것은 기쁘지만, 이번 전쟁은 내 왕국에 끔찍한 시련이네. 이미 북동쪽 여마법사들의 마을은 어느 편에 설지 흔들리고 있으며 어느 쪽에도 충성을 맹세하지 않고 있네. 우리 도시에는 큰 타격이지. 이 땅의 목재 대부분이 그 마을들에서 나오니까. 그들의 제재소를 되찾고 마을들을 무력으로 점령해야 하네."""	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Many dust plumes rise from the floor of this small valley. You see various bands of nomads roaming about, and in the distant, the bright flames of their camp.	이 작은 계곡 바닥 곳곳에서 먼지 기둥이 솟는다. 여러 유목민 무리가 돌아다니고 있고, 멀리 그들의 야영지에서 밝은 불길이 타오르는 것이 보인다.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
"Message from Archibald. "" Do not dare to return without my Crown."""	"아치볼드의 전갈. ""내 왕관 없이는 돌아올 생각도 하지 마라."""	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
"Message from Archibald. "" General, thank you for bringing me this lovely gift. I have decided to participate directly in the capture of my brother Roland. Since your military advice has taken us this far, I will follow your orders to the letter."""	"아치볼드의 전갈. ""장군, 이 훌륭한 선물을 가져와 줘서 고맙소. 나는 내 형제 롤랜드를 붙잡는 일에 직접 참여하기로 했소. 장군의 군사 조언 덕분에 여기까지 왔으니, 이제 당신의 명령을 한 글자도 어기지 않고 따르겠소."""	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
"Message from Roland.  ""General, I have sent most of our troops and material ahead to the region of the final conflict with Archibald.  Unfortunately, Lord Corlagon has cut us off from the rest of our army.  I will be awaiting your victory in a castle across the west river.  I should be safe from attack."""	"롤랜드의 전갈. ""장군, 아치볼드와의 최종 결전 지역으로 우리 병력과 물자 대부분을 먼저 보냈소. 안타깝게도 콜라곤 경이 우리를 나머지 군대와 갈라놓았소. 나는 서쪽 강 건너 성에서 장군의 승리를 기다리겠소. 그곳이라면 공격받지 않을 것이오."""	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
"Message from Roland. "" We cannot hope to defeat Archibald without the Crown, I'm counting on you."""	"롤랜드의 전갈. ""왕관 없이는 아치볼드를 이길 희망이 없소. 장군만 믿겠소."""	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
