source_text	translation_ko	review_status	notes
Three allied enemies stand before you and victory, including Lord Corlagon.  Roland is in a castle to the northwest, and you will lose if he falls to the enemy.  Remember that capturing Lord Corlagon will ensure that he will not fight against you in the final scenario.	코라곤 경을 포함한 세 동맹군이 승리를 가로막습니다. 롤랜드는 북서쪽 성에 있으며 그가 적에게 쓰러지면 패배합니다. 코라곤 경을 생포하면 최종 시나리오에서 적으로 싸우지 않는다는 점을 기억하십시오.	translated	기본 캠페인 설명
This is the final battle.  Both you and your enemy are armed to the teeth, and all are allied against you.  Capture Archibald to end the war!	마지막 전투입니다. 양쪽 모두 완전 무장했고 모든 적이 동맹을 맺었습니다. 아치발드를 생포해 전쟁을 끝내십시오!	translated	기본 캠페인 설명
Switching sides leaves you with three castles against the enemy's one.  This battle will be the easiest one you will face for the rest of the war...traitor.	편을 바꾸면 적의 성 하나에 맞서 성 세 개를 갖게 됩니다. 이 전투는 남은 전쟁 중 가장 쉬울 것입니다... 배신자.	translated	기본 캠페인 설명
You must unify the barbarian tribes of the north by conquering them.  As in the previous mission, the enemy is not allied against you, but they have more resources at their disposal.  You will win when you own all of the enemy castles and there are no more heroes left to fight.	북부 야만인 부족들을 정복해 통합해야 합니다. 이전 임무처럼 적들은 서로 동맹이 아니지만 더 많은 자원을 보유합니다. 모든 적의 성을 차지하고 맞설 영웅이 더는 없으면 승리합니다.	translated	기본 캠페인 설명
Do-gooder wizards have taken the Necromancers' castle.  You must retake it to achieve victory.  Remember that while you start with a powerful army, you have no castle and must take one within 7 days, or lose this battle.  (Hint: The nearest castle is to the southeast.)	정의로운 체하는 마법사들이 강령술사의 성을 빼앗았습니다. 승리하려면 되찾아야 합니다. 강력한 군대로 시작하지만 성이 없으므로 7일 안에 성 하나를 차지하지 못하면 패배합니다. (힌트: 가장 가까운 성은 남동쪽에 있습니다.)	translated	기본 캠페인 설명
The Dwarves need conquering before they can interfere in King Archibald's plans.  Roland's forces have more than one hero and many towns to start with, so be ready for attack from multiple directions.  You must capture all of the enemy towns and castles to claim victory.	드워프들이 아치발드 왕의 계획을 방해하기 전에 정복해야 합니다. 롤랜드군은 여러 영웅과 많은 도시로 시작하므로 여러 방향의 공격에 대비하십시오. 모든 적의 도시와 성을 점령해야 승리합니다.	translated	기본 캠페인 설명
You must put down a peasant revolt led by Roland's forces.  All are allied against you, but you have Lord Corlagon, an experienced hero, to help you.  Capture all enemy castles to win.	롤랜드군이 이끄는 농민 반란을 진압해야 합니다. 적은 모두 동맹이지만 노련한 영웅 코라곤 경이 도울 것입니다. 모든 적의 성을 점령하면 승리합니다.	translated	기본 캠페인 설명
There are two enemies allied against you in this mission.  Both are well armed and seek to evict you from their island.  Avoid them and capture Dragon City to win.	이 임무에서는 동맹을 맺은 두 적과 맞섭니다. 둘 다 잘 무장했고 섬에서 당신을 몰아내려 합니다. 그들을 피해 드래곤 시티를 점령하면 승리합니다.	translated	기본 캠페인 설명
Your orders are to conquer the country lords that have sworn to serve Roland.  All of the enemy castles are unified against you.  Since you start without a castle, you must hurry to capture one before the end of the week.  Capture all enemy castles for victory.	롤랜드를 섬기기로 맹세한 지방 영주들을 정복하라는 명령입니다. 모든 적의 성이 연합해 있습니다. 성 없이 시작하므로 주가 끝나기 전에 서둘러 성 하나를 점령해야 합니다. 모든 적의 성을 점령하면 승리합니다.	translated	기본 캠페인 설명
Find the Crown before Roland's heroes find it.  Archibald will need the Crown for the final battle with Roland.	롤랜드의 영웅들보다 먼저 왕관을 찾으십시오. 롤랜드와의 최종 전투에서 아치발드에게 왕관이 필요합니다.	translated	기본 캠페인 설명
Gather as large an army as possible and capture the enemy castle within 8 weeks.  You are opposed by only one enemy, but must travel a long way to get to the enemy castle.  Any troops you have in your army at the end of this scenario will be with you in the next.	가능한 한 큰 군대를 모아 8주 안에 적의 성을 점령하십시오. 적은 하나뿐이지만 그 성까지 먼 길을 가야 합니다. 시나리오가 끝날 때 보유한 병력은 다음 전투로 이어집니다.	translated	기본 캠페인 설명
This is the final battle.  Both you and your enemy are armed to the teeth, and all are allied against you.  Capture Roland to win the war, and be sure not to lose Archibald in the fight!	마지막 전투입니다. 양쪽 모두 완전 무장했고 모든 적이 동맹을 맺었습니다. 롤랜드를 생포해 전쟁에서 승리하고, 전투 중 아치발드를 잃지 마십시오!	translated	기본 캠페인 설명
Either Roland's or Archibald's campaign from the original Heroes of Might and Magic II.	원본 히어로즈 오브 마이트 앤 매직 II의 롤랜드 또는 아치발드 캠페인입니다.	translated	캠페인 선택 도움말
One of the four new campaigns from the Price of Loyalty expansion set.	충성의 대가 확장팩에 추가된 네 캠페인 중 하나입니다.	translated	캠페인 선택 도움말
Cancel back to the main menu.	주 메뉴로 돌아갑니다.	translated	캠페인 선택 도움말
Selects a game from the original Heroes of Might and Magic II.	원본 히어로즈 오브 마이트 앤 매직 II 게임을 선택합니다.	translated	캠페인 선택 도움말
Selects a game from the Price of Loyalty expansion set.	충성의 대가 확장팩 게임을 선택합니다.	translated	캠페인 선택 도움말
Cancel back to main menu.	주 메뉴로 돌아갑니다.	translated	캠페인 선택 도움말
Elven alliance	엘프 동맹	translated	확장 캠페인 보너스
Breastplate	흉갑	translated	확장 캠페인 보너스
Wood bonus	목재 보너스	translated	확장 캠페인 보너스
Helmet	투구	translated	확장 캠페인 보너스
Kraeger Defeated	크리거 격파	translated	확장 캠페인 보너스
Battle Garb	전투 장비	translated	확장 캠페인 보너스
Wayward son	방황하는 아들	translated	확장 캠페인 보너스
Legendary Sceptre	전설의 홀	translated	확장 캠페인 보너스
Guardian Spell	수호 주문	translated	확장 캠페인 보너스
Sphere of Negation	무효의 구	translated	확장 캠페인 보너스
Island of Chaos	혼돈의 섬	translated	확장 캠페인 제목
Arrow's Flight	화살의 비행	translated	확장 캠페인 제목
The Abyss	심연	translated	확장 캠페인 제목
The Giant's Pass	거인의 통로	translated	확장 캠페인 제목
Aurora Borealis	오로라	translated	확장 캠페인 제목
Betrayal's End	배신의 종말	translated	확장 캠페인 제목
Corruption's Heart	타락의 심장	translated	확장 캠페인 제목
Conquer and Unify	정복과 통합	translated	확장 캠페인 제목
Border Towns	국경 도시	translated	확장 캠페인 제목
The Wayward Son	방황하는 아들	translated	확장 캠페인 제목
Crazy Uncle Ivan	괴짜 이반 삼촌	translated	확장 캠페인 제목
The Southern War	남부 전쟁	translated	확장 캠페인 제목
The Elven Lands	엘프의 땅	translated	확장 캠페인 제목
The Epic Battle	대서사 전투	translated	확장 캠페인 제목
The Shrouded Isles	장막의 군도	translated	확장 캠페인 제목
The Eternal Scrolls	영원의 두루마리	translated	확장 캠페인 제목
Power's End	힘의 종말	translated	확장 캠페인 제목
Fount of Wizardry	마법의 샘	translated	확장 캠페인 제목
Stranded	표류	translated	확장 캠페인 제목
Pirate Isles	해적 군도	translated	확장 캠페인 제목
King and Country	왕과 조국	translated	확장 캠페인 제목
Blood is Thicker	피는 물보다 진하다	translated	확장 캠페인 제목
The sorceresses to the northeast are rebelling! For the good of the empire you must quash their feeble uprising on your way to the mountains.	북동쪽 여마법사들이 반란을 일으켰습니다! 제국을 위해 산으로 향하는 길에 미약한 봉기를 진압하십시오.	translated	확장 캠페인 설명
Having prepared for your arrival, Kraeger has arranged for a force of necromancers to thwart your quest. You must capture the castle of Scabsdale before the first day of the third week, or the Necromancers will be too strong for you.	크리거는 당신의 도착에 대비해 강령술사 군대를 배치했습니다. 셋째 주 첫날 전에 스캡데일 성을 점령해야 합니다. 그렇지 않으면 강령술사들이 너무 강해집니다.	translated	확장 캠페인 설명
The barbarian despot in this area is, as yet, ignorant of your presence. Quickly, build up your forces before you are discovered and attacked! Secure the region by subduing all enemy forces.	이 지역의 야만인 폭군은 아직 당신의 존재를 모릅니다. 발각되어 공격받기 전에 서둘러 병력을 키우십시오! 모든 적군을 굴복시켜 지역을 확보하십시오.	translated	확장 캠페인 설명
The Empire is weak in this region. You will be unable to completely subdue all forces in this area, so take what you can before reprisal strikes. Remember, your true goal is to claim the Helmet of Anduran.	제국은 이 지역에서 약합니다. 모든 세력을 완전히 굴복시킬 수 없으니 반격이 오기 전에 가능한 만큼 취하십시오. 진정한 목표는 안두란의 투구를 손에 넣는 것임을 기억하십시오.	translated	확장 캠페인 설명
At last, you have the opportunity and the facilities to rid the Empire of the necromancer's evil. Eradicate them completely, and you will be sung as a hero for all time.	마침내 제국에서 강령술사의 악을 뿌리 뽑을 기회와 기반을 얻었습니다. 그들을 완전히 소탕하면 영원한 영웅으로 칭송받을 것입니다.	translated	확장 캠페인 설명
Your rival, the kingdom of Harondale, is attacking weak towns on your border! Recover from their first strike and crush them completely!	경쟁 왕국 하론데일이 국경의 약한 도시들을 공격합니다! 첫 공격의 피해를 수습하고 그들을 완전히 격파하십시오!	translated	확장 캠페인 설명
Find your wayward son Joseph who is rumored to be living in the desolate lands. Do it before the first day of the third month or it will be of no help to your family.	황무지에 산다는 소문이 있는 가출한 아들 조셉을 찾으십시오. 셋째 달 첫날 전에 찾지 못하면 가문에 아무 도움도 되지 않습니다.	translated	확장 캠페인 설명
Rescue your crazy uncle Ivan. Find him before the first day of the fourth month or it will be no help to your kingdom.	괴짜 이반 삼촌을 구출하십시오. 넷째 달 첫날 전에 찾지 못하면 왕국에 도움이 되지 않습니다.	translated	확장 캠페인 설명
Destroy the barbarians who are attacking the southern border of your kingdom! Recover your fallen towns, and then invade the jungle kingdom. Leave no enemy standing.	남쪽 국경을 공격하는 야만인들을 섬멸하십시오! 함락된 도시를 되찾고 정글 왕국을 침공하십시오. 적을 하나도 남기지 마십시오.	translated	확장 캠페인 설명
Gain the favor of the elves. They will not allow trees to be chopped down, so we will send you wood every 2 weeks. You must complete your mission before the first day of the seventh month, or the kingdom will surely fall.	엘프의 호의를 얻으십시오. 그들은 나무 베기를 허용하지 않으므로 2주마다 목재를 보내겠습니다. 일곱째 달 첫날 전에 임무를 완수하지 못하면 왕국은 분명 무너질 것입니다.	translated	확장 캠페인 설명
Your mission is to vanquish the warring mages in the magical Shrouded Isles. The completion of this task will give you a fighting chance against your rivals.	마법의 장막 군도에서 전쟁 중인 마법사들을 물리치십시오. 이 임무를 완수하면 경쟁자들과 싸울 기회를 얻습니다.	translated	확장 캠페인 설명
The location of the great library has been discovered! You must make your way to it, and reclaim the city of Chronos in which it lies.	대도서관의 위치를 발견했습니다! 그곳으로 가서 도서관이 자리한 크로노스 시를 탈환하십시오.	translated	확장 캠페인 설명
Find the Orb of negation, which is said to be buried in this land. There are clues inscribed on stone obelisks which will help lead you to your prize. Find the Orb before the first day of the sixth month, or your rivals will surely have gotten to the fount before you.	이 땅에 묻혀 있다는 무효의 구를 찾으십시오. 돌 오벨리스크에 새겨진 단서가 보물로 인도할 것입니다. 여섯째 달 첫날 전에 구를 찾지 못하면 경쟁자들이 먼저 샘에 도달할 것입니다.	translated	확장 캠페인 설명
You must take control of the castle of Magic, where the fount of wizardry lies. Do this and your victory will be supreme.	마법의 샘이 있는 매직 성을 장악해야 합니다. 그러면 완전한 승리를 거둘 것입니다.	translated	확장 캠페인 설명
Capture the town on the island off the southeast shore in order to construct a boat and travel back towards the mainland. Do not lose the hero Gallavant.	남동쪽 해안의 섬 도시를 점령해 배를 만들고 본토로 돌아가십시오. 갤러번트를 잃지 마십시오.	translated	확장 캠페인 설명
Find and defeat Martine, the pirate leader, who resides in Pirates Cove. Do not lose Gallavant or your quest will be over.	파이럿코브에 사는 해적 두목 마틴을 찾아 물리치십시오. 갤러번트를 잃으면 원정이 끝납니다.	translated	확장 캠페인 설명
Eliminate all the other forces who oppose the rule of Lord Alberon. Gallavant must not die.	알베론 경의 통치에 반대하는 모든 세력을 제거하십시오. 갤러번트는 죽어서는 안 됩니다.	translated	확장 캠페인 설명
Overthrow the entrenched monarchy of Lord Alberon, and claim all the land in your name. Gallavant must not die.	알베론 경의 완고한 왕정을 무너뜨리고 모든 땅을 차지하십시오. 갤러번트는 죽어서는 안 됩니다.	translated	확장 캠페인 설명
Price of Loyalty	충성의 대가	translated	확장 캠페인 이름
Descendants	후손들	translated	확장 캠페인 이름
Wizard's Isle	마법사의 섬	translated	확장 캠페인 이름
Voyage Home	귀향길	translated	확장 캠페인 이름
