source_text	translation_ko	review_status	notes
Ivory Gates	아이보게트	policy_approved	도시 이름 축약 음역
Jungomar	정고마르	policy_approved	도시 이름 음역
Kalindra	칼린드라	policy_approved	도시 이름 음역
Lakeside	렉사이드	policy_approved	도시 이름 축약 음역
Land's Edge	랜즈에지	policy_approved	도시 이름 음역
Lankershire	랭커셔	policy_approved	도시 이름 음역
Lavalor	라발로	policy_approved	도시 이름 축약 음역
Magic	매직	policy_approved	도시 이름 음역
Marsh Home	마시홈	policy_approved	도시 이름 음역
Meramec	메라멕	policy_approved	도시 이름 음역
Middle Gate	미들게이트	policy_approved	도시 이름 음역
Middleton	미들턴	policy_approved	도시 이름 음역
Middletown	미들타운	policy_approved	도시 이름 음역
New Dawn	뉴던	policy_approved	도시 이름 음역
Nightshadow	나이트섀도	policy_approved	도시 이름 음역
Noraston	노라스턴	policy_approved	도시 이름 음역
Obsidian	옵시디언	policy_approved	도시 이름 음역
Ogrehild	오거힐드	policy_approved	도시 이름 음역
Olympus	올림포	policy_approved	도시 이름 축약 음역
Ostoroth	오스토롯	policy_approved	도시 이름 축약 음역
Perenor	페레놀	policy_approved	도시 이름 축약 음역
Pig's Eye	피그아이	policy_approved	도시 이름 음역
Pinehurst	파인허스	policy_approved	도시 이름 축약 음역
Pirate Cove	파이럿코브	policy_approved	도시 이름 음역
Pixie	픽시	policy_approved	도시 이름 음역
Portsmith	포츠미스	policy_approved	도시 이름 축약 음역
Quick Silver	퀵실버	policy_approved	도시 이름 음역
Raste	라스	policy_approved	도시 이름 축약 음역
Redshield	레드실드	policy_approved	도시 이름 음역
Roc Haven	록헤이븐	policy_approved	도시 이름 음역
Roscomon	로스코먼	policy_approved	도시 이름 음역
Rotten Birch	로튼버치	policy_approved	도시 이름 음역
Sandcaster	샌드캐스터	policy_approved	도시 이름 음역
Sansobar	산소바르	policy_approved	도시 이름 음역
Scabsdale	스캡데일	policy_approved	도시 이름 축약 음역
Sheltemburg	셸템버그	policy_approved	도시 이름 음역
Sherman	셔먼	policy_approved	도시 이름 음역
Snowdrop	스노드롭	policy_approved	도시 이름 음역
Sorpigal	소피갈	policy_approved	도시 이름 음역
South Mill	사우스밀	policy_approved	도시 이름 음역
Spirit City	스피릿시티	policy_approved	도시 이름 음역
Stromgild	스트롬길	policy_approved	도시 이름 축약 음역
Stromhild	스트롬힐	policy_approved	도시 이름 축약 음역
Stronghold	스트롱홀드	policy_approved	도시 이름 음역
Subbaculcha	서바컬처	policy_approved	도시 이름 음역
Tchudes	추데스	policy_approved	도시 이름 음역
The Citadel	더시타델	policy_approved	도시 이름 음역
Timberhill	팀버힐	policy_approved	도시 이름 음역
TreeHome	트리홈	policy_approved	도시 이름 음역
Trilobar	트릴로바	policy_approved	도시 이름 음역
Troy	트로	policy_approved	도시 이름 축약 음역
Tundara	툰다라	policy_approved	도시 이름 음역
Vaultius	볼티어스	policy_approved	도시 이름 음역
Vertigo	버티고	policy_approved	도시 이름 음역
Viper's Nest	바이퍼네스트	policy_approved	도시 이름 음역
Vulcania	벌카니아	policy_approved	도시 이름 축약 음역
Waystop	웨이스	policy_approved	도시 이름 축약 음역
Weddington	웨딩턴	policy_approved	도시 이름 음역
Weed Patch	위드패치	policy_approved	도시 이름 음역
Westfork	웨스포크	policy_approved	도시 이름 축약 음역
Westmoor	웨스트몰	policy_approved	도시 이름 축약 음역
Whiteshield	화이트실드	policy_approved	도시 이름 음역
Whittingham	휘팅엄	policy_approved	도시 이름 음역
Wildabar	와일다바	policy_approved	도시 이름 음역
Willow	윌로우	policy_approved	도시 이름 음역
Winterkill	윈터킬	policy_approved	도시 이름 음역
Wood's Lord	우즈로드	policy_approved	도시 이름 음역
Woodhaven	우드헤븐	policy_approved	도시 이름 축약 음역
Woodville	우드빌	policy_approved	도시 이름 음역
Wormed Ash	웜드애시	policy_approved	도시 이름 음역
Xabran	자브란	policy_approved	도시 이름 음역
Yorksford	요크포드	policy_approved	도시 이름 축약 음역
Archibald	아치발드	policy_approved	영웅 이름 음역
Corlagon	코라곤	policy_approved	영웅 이름 음역
Drakonia	드라코니	policy_approved	영웅 이름 축약 음역
Evil Igor	이블이골	policy_approved	영웅 이름 축약 음역
Gallavant	갤러번트	policy_approved	영웅 이름 음역
Ibn Fadlan	이븐파들란	policy_approved	영웅 이름 음역
Jarkonas	자르코나	policy_approved	영웅 이름 축약 음역
Jarkonas VI	자르코나6세	policy_approved	영웅 이름 축약 음역과 서수
Joseph	조셉	policy_approved	영웅 이름 음역
King John	존 왕	policy_approved	영웅 이름 음역과 칭호 번역
Lord Alberon	알베론경	policy_approved	영웅 이름 음역과 칭호 번역
Lord Haart	하트경	policy_approved	영웅 이름 음역과 칭호 번역
Lord Halton	할턴경	policy_approved	영웅 이름 음역과 칭호 번역
Lord Kreager	크리거경	policy_approved	영웅 이름 음역과 칭호 번역
Marco	마코	policy_approved	영웅 이름 축약 음역
Martine	마틴	policy_approved	영웅 이름 음역
Mr Ed	에드	policy_approved	영웅 이름 축약 음역
Rogar	로갈	policy_approved	영웅 이름 축약 음역
Roland	롤랜드	policy_approved	영웅 이름 음역
Scummy	스커미	policy_approved	영웅 이름 음역
Uncle Ivan	이반삼촌	policy_approved	영웅 이름 음역과 칭호 번역
Uncle Leo	레오삼촌	policy_approved	영웅 이름 음역과 칭호 번역
Uncle Milty	밀티삼촌	policy_approved	영웅 이름 음역과 칭호 번역
Wyrm	웜	policy_approved	영웅 이름 음역
