Move how many %s troops from %s to %s?	%s에서 %s로 %s 몇 부대 이동?
You hear a voice from behind the locked door, "You don't have enough gold to pay for my services."	잠긴 문 뒤에서 말합니다. 돈이 부족해 내 일을 맡길 수 없습니다.
The dwarves recognize their allies and gladly join your forces.	드워프들이 동맹을 알아보고 기쁘게 합류합니다.
The ogres recognize you as the Dwarfbane and lumber over to join you.	오우거들이 드워프의 적을 알아보고 합류합니다.
The dragons, snarling and growling, agree to join forces with you, their 'Ally'.	용들이 으르렁거리며 동맹인 당신에게 합류합니다.
All %d of the %s will join your army for the sum of %d gold.  Do you accept?	%s %d명이 금 %d에 합류하려 합니다. 받겠습니까?
%d of the %d %s will join your army, and the rest will leave you alone, for the sum of %d gold.  Do you accept?	%d/%d %s이 금 %d에 합류하고 나머지는 떠납니다. 받겠습니까?
You must purchase a spell book to use the mage guild, but you currently have no room for a spell book.  Try giving one of your artifacts to another hero.	마법 길드를 쓰려면 마법서가 필요하지만 칸이 없습니다. 유물을 다른 영웅에게 주십시오.
To cast spells, you must first buy a spell book for 500 gold.  Unfortunately, you seem to be a little short of cash at the moment.	주문을 쓰려면 금 500에 마법서를 사야 하지만 지금은 돈이 부족합니다.
To cast spells, you must first buy a spell book for 500 gold.  Do you wish to buy one?	주문을 쓰려면 금 500에 마법서를 사야 합니다. 사시겠습니까?
This town may not be upgraded to a castle.	이 마을은 성으로 바꿀 수 없습니다.
You don't have enough gold!	금이 부족합니다!
You have captured an enemy artifact!	적의 유물을 얻었습니다!
The Sphere of Negation artifact is in effect for this battle, disabling all combat spells.	무효의 구가 전투에 작동하여 모든 전투 주문을 막습니다.
Are you sure you want to retreat?	정말 퇴각하시겠습니까?
The Medusas' gaze turns the %s to stone!	메두사의 시선이 %s을 돌로 만듭니다!
%s, you have lost your last town.  If you do not conquer another town in the next week, you will be eliminated.	%s, 마지막 마을을 잃었습니다. 한 주 안에 마을을 얻지 못하면 탈락합니다.
You have built up over %d gold in your treasury.  All enemies bow before your wealth and power.	국고에 금 %d 이상을 모았습니다. 모든 적이 부와 힘 앞에 굴복합니다.
The enemy has built up over %d gold in his treasury.  You must bow done in defeat before his wealth and power.	적 국고에 금 %d 이상이 있습니다. 부와 힘 앞에 패배합니다.
Dragon city has fallen!  You are now the Master of the Dragons.	용의 도시가 함락되었습니다! 이제 용들의 주인입니다.
The Nomad Boots of Mobility increase your movement on land.	유목민 장화는 길 위 이동력을 높입니다.
The Golden Horseshoe increases your luck in combat.	황금 편자는 전투 행운을 높입니다.
The Gold Watch doubles the effectiveness of your hypnotize spells.	금 시계는 최면 주문 효과를 두 배로 합니다.
The Ice Cloak halves all damage your troops take from cold spells.	얼음 망토는 냉기 피해를 반으로 줄입니다.
The Fire Cloak halves all damage your troops take from fire spells.	불 망토는 화염 피해를 반으로 줄입니다.
The Lightning Helm halves all damage your troops take from lightning spells.	번개 투구는 번개 피해를 반으로 줄입니다.
The Evercold Icicle causes your cold spells to do 50% more damage to enemy troops.	얼음 고드름은 냉기 주문 피해를 50% 높입니다.
The Everhot Lava Rock causes your fire spells to do 50% more damage to enemy troops.	뜨거운 돌은 불 주문 피해를 50% 높입니다.
The Lightning Rod causes your lightning spells to do 50% more damage to enemy troops.	번개 막대는 번개 주문 피해를 50% 높입니다.
The Holy Pendant makes all your troops immune to curse spells.	신성 목걸이는 저주 주문을 막습니다.
The Pendant of Free Will makes all your troops immune to hypnotize spells.	자유 목걸이는 최면 주문을 막습니다.
The Pendant of Life makes all your troops immune to death spells.	생명 목걸이는 죽음 주문을 막습니다.
The Serenity Pendant makes all your troops immune to berserk spells.	평온 목걸이는 광란 주문을 막습니다.
The Seeing-eye Pendant makes all your troops immune to blindness spells.	시야 목걸이는 실명 주문을 막습니다.
The Kinetic Pendant makes all your troops immune to paralyze spells.	운동 목걸이는 마비 주문을 막습니다.
The Pendant of Death makes all your troops immune to holy spells.	죽음 목걸이는 신성 주문을 막습니다.
The Wand of Negation protects your troops from the Dispel Magic spell.	무효 지팡이는 마법 해제를 막습니다.
The Golden Bow eliminates the 50% penalty for your troops shooting past obstacles. (e.g. castle walls)	황금 활은 벽 너머 사격 불리를 없앱니다.
The Statesman's Quill reduces the cost of surrender to 10% of the total cost of troops you have in your army.	정치가의 깃은 항복 비용을 부대 비용의 10%로 낮춥니다.
The Ammo Cart provides endless ammunition for all your troops that shoot.	탄약 수레는 사격 부대에 탄약을 끝없이 줍니다.
The Tax Lien costs you 250 gold pieces/turn.	세금 고지서는 매 턴 금 250을 잃게 합니다.
The Hideous Mask prevents all 'wandering' armies from joining your hero.	흉한 가면은 떠돌이 부대가 합류하지 못하게 합니다.
The Endless Pouch of Gems provides 1 unit of gems per day.	보석 주머니는 매일 보석 1개를 줍니다.
The Magic Book enables you to cast spells.	마법서는 주문을 쓸 수 있게 합니다.
The Battle Garb of Anduran combines the powers of the three Anduran artifacts.  It provides maximum luck and morale for your troops and gives you the Town Portal spell.	안두란 전투 장비는 행운과 사기를 최대로 하고 마을 이동 주문을 줍니다.
