%s has found the most obelisks.	%s의 오벨리스크가 최다입니다.
%s has found the most artifacts.	%s의 유물이 가장 많습니다.
%s has the most powerful forces.	%s의 병력이 가장 강합니다.
%s earns the most gold.	%s 금 수입 최다.
The ultimate artifact may be found in the %s regions of the world.	궁극의 유물은 세계의 %s 지역에서 찾을 수 있습니다.
You enter a rickety hut and talk to the magician who lives there.  He tells you of places near and far which may aid you in your journeys.	낡은 오두막의 마법사가 여정에 도움이 될 먼 곳과 가까운 곳을 알려 줍니다.
This eye seems to be intently studying its surroundings.	이 눈은 주변을 빤히 살피고 있는 듯합니다.
You have your crew stop up their ears with wax before the sirens' eerie song has any chance of luring them to a watery grave.	세이렌의 노래가 선원들을 유혹하기 전에 귀를 밀랍으로 막게 했습니다.
An eerie wailing song emanates from the sirens perched upon the rocks.  Many of your crew fall under its spell, and dive into the water where they drown.  You are now wiser for the visit, and gain %d experience.	바위 위 세이렌의 노래에 많은 선원이 물속으로 뛰어들어 죽었습니다. 쓰라린 교훈으로 경험치 %d을 얻습니다.
As the sirens sing their eerie song, your small, determined army manages to overcome the urge to dive headlong into the sea.	세이렌의 노래가 울리지만, 굳센 부대는 바다로 뛰어들 충동을 이겨냅니다.
The jailer tells you that the hero who was imprisoned here has been released by the king who imprisoned him.	간수는 이곳의 영웅이 그를 가둔 왕에게 풀려났다고 말합니다.
You already have 8 heroes, and regretfully must leave the prisoner in this jail to languish in agony for untold days.	이미 영웅이 8명이라, 안타깝게도 죄수를 감옥에 남겨 두어야 합니다.
In a dazzling display of daring, you break into the local jail and free the hero imprisoned there, who, in return, pledges loyalty to your cause.	과감히 감옥을 습격해 갇힌 영웅을 풀어 주자, 그는 보답으로 충성을 맹세합니다.
As you reach for the %s, it mysteriously disappears.	%s에 손을 뻗자 신비롭게 사라집니다.
The %s is swayed by your diplomatic tongue, and offers to join your army for the sum of %d gold.  Do you accept?	%s이 외교술에 설득되어 금 %d을 받고 합류하겠다고 합니다. 받아들이시겠습니까?
An earthquake will do you no good unless there are town walls to damage.	피해 줄 성벽이 없으면 지진은 아무 소용이 없습니다.
You may only summon one type of elemental per combat.	전투마다 한 종류의 정령만 소환할 수 있습니다.
You already have %d creatures groups in combat and cannot add any more.	전투 중인 부대가 이미 %d개라 더 추가할 수 없습니다.
There is no open space adjacent to your hero to summon an Elemental to.	영웅 옆에 정령을 소환할 빈 공간이 없습니다.
That spell will affect no one!	주문 효과 없음!
The disrupting ray reduces defense by %d.	파괴 광선이 수비력을 %d 낮춥니다.
The cold ring does %d damage.	냉기 고리가 피해 %d을 줍니다.
The fireball does %d damage.	화염구가 피해 %d을 줍니다.
The meteor shower does %d damage.	유성우가 피해 %d을 줍니다.
The elemental storm does %d damage.	정령 폭풍이 피해 %d을 줍니다.
The armageddon does %d damage.	아마겟돈이 피해 %d을 줍니다.
The %s increases production of %s by 8 per week.	%s은 %s 생산을 주당 8 늘립니다.
The %s produces %s.	%s: %s 생산.
Experience allows your heroes to go up levels, increasing their primary and secondary skills.	경험치는 영웅의 레벨을 올려 기본 능력과 보조 기술을 높입니다.
There are seven resources in Heroes 2, used to build and improves castles, purchase troops and recruit heroes.  Gold is the most common, required for virtually everything.  Wood and ore are used for most buildings.  Gems, Mercury, Sulfur and Crystal are rare magical resources used for the most powerful creatures and buildings.	Heroes 2에는 일곱 자원이 있습니다. 금은 거의 모든 일에, 목재와 광석은 건물에, 보석 수은 유황 수정은 강력한 생물과 건물에 쓰입니다.
You have been eliminated from the game!!!	당신은 게임에서 탈락했습니다!!!
%s has been vanquished!	%s이 패배했습니다!
The enemy is beaten.  Your side has triumphed!	적이 패배했습니다. 아군의 승리입니다!
You captured %s!  You are victorious.	%s을 점령했습니다! 승리했습니다.
The enemy has captured %s!  They are triumphant.	적이 %s을 점령했습니다! 적의 승리입니다.
%s has fallen!  All is lost.	%s 함락! 패배.
You have captured the enemy hero %s!  Your quest is complete.	적 영웅 %s을 사로잡았습니다! 임무 완료입니다.
You have lost the hero %s.  Your quest is over.	영웅 %s을 잃었습니다. 임무 실패입니다.
You have failed to complete your quest in time.  All is lost.	제때 임무를 끝내지 못했습니다. 모든 것이 끝났습니다.
You have found the %s.  Your quest is complete.	%s을 찾았습니다. 임무 완료입니다.
The enemy has found the %s.  Your quest is a failure.	적이 %s을 찾았습니다. 임무 실패입니다.
The map difficulty of the currently selected map.  The map difficulty is determined by the scenario designer.  More difficult maps might include more or stronger enemies, fewer resources, or other special conditions making things tougher for the human player.	현재 선택한 지도의 난이도입니다. 제작자가 정하며, 어려운 지도일수록 적이 강하거나 자원이 적고 특수 조건이 많을 수 있습니다.
Subdue the unruly local lords in order to provide the Empire with facilities to operate in this region.	제국이 이 지역에서 활동할 거점을 얻도록 반항적인 지방 영주들을 굴복시키십시오.
Eliminate all oposition in this area. Then the first piece of the artifact will be yours.	이 지역의 모든 저항을 제거하십시오. 그러면 유물의 첫 조각이 당신 것이 됩니다.
For the good of the Empire, eliminate Kraeger.	제국을 위해 크레이거를 제거하십시오.
Conquer and unite all the enemy tribes. Don't lose the hero Jarkonas, the forefather of all descendants.	모든 적 부족을 정복해 통합하십시오. 후손들의 시조 자르코나스를 잃지 마십시오.
Retake the castle of Ivory Gates, which has fallen due to treachery.	배신으로 함락된 아이보리 게이트 성을 되찾으십시오.
This is the final battle against your rival kingdom of Harondale. Eliminate everyone, and don't lose the hero Jarkonas VI.	라이벌 하론데일과의 마지막 전투입니다. 모두 제거하고 자르코나스 6세를 잃지 마십시오.
This burial site is deathly still.	이 매장지는 죽은 듯 고요합니다.
The pit of mud bubbles for a minute and then lies still.	진흙 구덩이가 잠시 끓어오르다 이내 잠잠해집니다.
You enter the structure of white stone pillars, and find nothing.	하얀 돌기둥 건물에 들어갔지만 아무것도 없습니다.
No Fire Elementals approach you from the lava pool.	용암 웅덩이에서 불의 정령은 다가오지 않습니다.
A face forms in the water for a moment, and then is gone.	물속에 얼굴이 잠시 떠올랐다 사라집니다.
Restless spirits of long dead warriors seeking their final resting place offer to join you in hopes of finding peace.  Do you wish to recruit ghosts?	안식을 찾지 못한 전사들의 혼이 평화를 바라며 합류를 청합니다. 유령을 모집하시겠습니까?
The Shrine increases the necromancy skill of all your necromancers by 10 percent.	사당은 모든 강령술사의 강령술을 10% 높입니다.
